Song_id,Song,Artist,Album,Album_id,danceability,energy,key,mode,instrumentalness,valence
6hvczQ05jc1yGlp9zhb95V,Kill This Love,['BLACKPINK'],KILL THIS LOVE,3PNxZ3BELbUXJ1XLktXiHz,0.763,0.835,2,0,0.00221,0.645
4SFknyjLcyTLJFPKD2m96o,How You Like That,['BLACKPINK'],THE ALBUM,71O60S5gIJSIAhdnrDIh3N,0.812,0.761,11,1,0.000135,0.344
1XnpzbOGptRwfJhZgLbmSr,Pretty Savage,['BLACKPINK'],THE ALBUM,71O60S5gIJSIAhdnrDIh3N,0.701,0.556,9,0,0.000122,0.333
13MF2TYuyfITClL1R2ei6e,BOOMBAYAH,['BLACKPINK'],SQUARE ONE,0FOOodYRlj7gzh7q7IjmNZ,0.661,0.836,5,0,0,0.396
4ZxOuNHhpyOj4gv52MtQpT,As If It's Your Last,['BLACKPINK'],As If It's Your Last,7ikmjsvRzDRzxHN0KXSQdv,0.786,0.852,8,1,0,0.455
7qmvLmX9tyaTiBAVNI6YEn,PLAYING WITH FIRE,['BLACKPINK'],SQUARE TWO,2Fna4Tb7fme5aHsNMJtVtp,0.706,0.756,4,0,0,0.676
4Ws314Ylb27BVsvlZOy30C,Lovesick Girls,['BLACKPINK'],THE ALBUM,71O60S5gIJSIAhdnrDIh3N,0.654,0.707,6,1,0,0.448
6veFyjNycn6EaNCKhkPXUY,Forever Young,['BLACKPINK'],SQUARE UP,0wOiWrujRbxlKEGWRQpKYc,0.605,0.949,4,1,0,0.506
4lQsB3ERTWSNaAN1IkuNRl,DDU-DU DDU-DU,['BLACKPINK'],SQUARE UP,0wOiWrujRbxlKEGWRQpKYc,0.668,0.828,4,0,0,0.393
0IGUXY4JbK18bu9oD4mPIm,TOMBOY,['(G)I-DLE'],I NEVER DIE,1T2W9vDajFreUuycPDjUXk,0.755,0.87,1,0,0,0.645
4JUPEh2DVSXFGExu4Uxevz,Ice Cream (with Selena Gomez),"['BLACKPINK', 'Selena Gomez']",THE ALBUM,71O60S5gIJSIAhdnrDIh3N,0.79,0.701,9,1,8.06e-05,0.91
2wVDWtLKXunswWecARNILj,SOLO,['JENNIE'],SOLO,7qAJpYeABXN9ZV5wOOX59k,0.751,0.642,3,0,0,0.388
